,WL,power
0,1.3e-06,-69.4930378
1,1.3000212e-06,-69.1013946
2,1.3000424000000001e-06,-65.1987607
3,1.3000636000000002e-06,-64.4059323
4,1.3000848e-06,-68.8048034
5,1.300106e-06,-64.5922522
6,1.3001272e-06,-68.2969526
7,1.3001484e-06,-66.9895638
8,1.3001696000000001e-06,-66.7831948
9,1.3001908000000001e-06,-68.267504
10,1.300212e-06,-69.4913622
11,1.3002332e-06,-68.4380564
12,1.3002544e-06,-65.1353549
13,1.3002756e-06,-67.9649986
14,1.3002968000000001e-06,-65.8769659
15,1.3003180000000001e-06,-65.9250105
16,1.3003392e-06,-65.7389211
17,1.3003604e-06,-63.6645077
18,1.3003816e-06,-62.6141941
19,1.3004028e-06,-64.9562707
20,1.300424e-06,-64.238148
21,1.3004452000000001e-06,-63.8039353
22,1.3004664e-06,-60.7274179
23,1.3004876e-06,-60.1010591
24,1.3005088e-06,-57.6853663
25,1.30053e-06,-55.7467102
26,1.3005512e-06,-52.7895465
27,1.3005724000000001e-06,-49.3905969
28,1.3005936e-06,-46.745841
29,1.3006148e-06,-45.5604848
30,1.300636e-06,-45.6420056
31,1.3006572e-06,-46.8963057
32,1.3006784e-06,-49.6609631
33,1.3006996000000001e-06,-52.1836419
34,1.3007208e-06,-55.1817801
35,1.300742e-06,-57.1701311
36,1.3007632e-06,-57.9490487
37,1.3007844e-06,-61.1383767
38,1.3008056e-06,-61.4217982
39,1.3008268000000001e-06,-63.7971074
40,1.300848e-06,-63.0705975
41,1.3008692e-06,-62.114554
42,1.3008904e-06,-69.4883851
43,1.3009116e-06,-63.8695455
44,1.3009328e-06,-63.5301722
45,1.3009540000000001e-06,-63.5724576
46,1.3009752e-06,-65.3381365
47,1.3009964e-06,-64.7141974
48,1.3010176e-06,-65.9096436
49,1.3010388e-06,-67.7178108
50,1.30106e-06,-64.3689219
51,1.3010812000000001e-06,-68.1887416
52,1.3011024e-06,-64.1362921
53,1.3011236e-06,-65.0160342
54,1.3011448e-06,-63.9692311
55,1.301166e-06,-68.5428604
56,1.3011872e-06,-65.3892247
57,1.3012084000000001e-06,-65.3927003
58,1.3012296e-06,-63.1336923
59,1.3012508e-06,-65.1661857
60,1.301272e-06,-63.5839055
61,1.3012932e-06,-62.7650167
62,1.3013144e-06,-63.0865837
63,1.3013356000000001e-06,-63.996247
64,1.3013568000000001e-06,-62.5462655
65,1.301378e-06,-62.4875388
66,1.3013992e-06,-60.5213821
67,1.3014204e-06,-59.4569519
68,1.3014416e-06,-56.8944382
69,1.3014628000000001e-06,-54.9164649
70,1.3014840000000001e-06,-51.7729975
71,1.3015052e-06,-48.208717
72,1.3015264e-06,-45.3615711
73,1.3015476e-06,-44.0104631
74,1.3015688e-06,-44.2057961
75,1.30159e-06,-45.9838858
76,1.3016112000000001e-06,-49.0461286
77,1.3016324e-06,-53.3262209
78,1.3016536e-06,-56.2345972
79,1.3016748e-06,-58.5084949
80,1.301696e-06,-58.9970287
81,1.3017172e-06,-61.0987405
82,1.3017384000000001e-06,-61.3024482
83,1.3017596e-06,-62.8265226
84,1.3017808e-06,-63.7280297
85,1.301802e-06,-64.7072633
86,1.3018232e-06,-65.4930917
87,1.3018444e-06,-65.026275
88,1.3018656000000001e-06,-64.968079
89,1.3018868e-06,-65.3118916
90,1.301908e-06,-64.3776289
91,1.3019292e-06,-62.853405
92,1.3019504e-06,-66.392988
93,1.3019716e-06,-65.4922022
94,1.3019928000000001e-06,-64.9238975
95,1.302014e-06,-63.6670386
96,1.3020352e-06,-66.1011452
97,1.3020564e-06,-67.1945881
98,1.3020776e-06,-64.7181647
99,1.3020988e-06,-63.5827594
100,1.3021200000000001e-06,-66.42668
101,1.3021412e-06,-65.0629132
102,1.3021624e-06,-65.0075408
103,1.3021836e-06,-67.1152459
104,1.3022048e-06,-66.3472647
105,1.302226e-06,-63.9245748
106,1.3022472000000001e-06,-63.3310127
107,1.3022684e-06,-64.1981308
108,1.3022896e-06,-62.1403744
109,1.3023108e-06,-61.0933537
110,1.302332e-06,-59.8021238
111,1.3023532e-06,-58.6474965
112,1.3023744000000001e-06,-55.8397442
113,1.3023956e-06,-52.5652935
114,1.3024168e-06,-47.8722273
115,1.302438e-06,-44.5650968
116,1.3024592e-06,-42.6642328
117,1.3024804e-06,-42.3226435
118,1.3025016000000001e-06,-43.6831855
119,1.3025228e-06,-46.6151338
120,1.302544e-06,-50.4521314
121,1.3025652e-06,-54.1138296
122,1.3025864e-06,-56.8371671
123,1.3026076e-06,-58.4270873
124,1.3026288e-06,-60.8922205
125,1.3026500000000001e-06,-61.9185424
126,1.3026712e-06,-61.9045035
127,1.3026924e-06,-62.5545479
128,1.3027136e-06,-64.3190797
129,1.3027348e-06,-64.160442
130,1.302756e-06,-65.4644234
131,1.3027772000000001e-06,-62.8548585
132,1.3027984e-06,-63.4150935
133,1.3028196e-06,-65.9432269
134,1.3028408e-06,-69.4790946
135,1.302862e-06,-68.7622632
136,1.3028832e-06,-68.4357203
137,1.3029044000000001e-06,-69.4790946
138,1.3029256e-06,-69.4790946
139,1.3029468e-06,-69.4790946
140,1.302968e-06,-65.279307
141,1.3029892e-06,-67.7911806
142,1.3030104e-06,-66.3700662
143,1.3030316000000001e-06,-66.7772125
144,1.3030528e-06,-65.6145722
145,1.303074e-06,-65.6574749
146,1.3030952e-06,-69.4748276
147,1.3031164e-06,-66.5353802
148,1.3031376e-06,-68.794803
149,1.3031588000000001e-06,-64.985456
150,1.30318e-06,-63.3901729
151,1.3032012e-06,-62.874285
152,1.3032224e-06,-63.0043921
153,1.3032436e-06,-60.9674994
154,1.3032648e-06,-59.2646391
155,1.3032860000000001e-06,-56.0204805
156,1.3033072e-06,-52.490746
157,1.3033284e-06,-49.6019079
158,1.3033496e-06,-45.456877
159,1.3033708e-06,-42.3812009
160,1.303392e-06,-40.7196736
161,1.3034132000000001e-06,-40.6253586
162,1.3034344e-06,-42.8996374
163,1.3034556e-06,-46.4760916
164,1.3034768e-06,-50.5035615
165,1.303498e-06,-53.7068309
166,1.3035192e-06,-57.3917379
167,1.3035404000000001e-06,-59.321974
168,1.3035616e-06,-61.1937769
169,1.3035828e-06,-62.992038
170,1.303604e-06,-62.1540984
171,1.3036252e-06,-64.803085
172,1.3036464e-06,-65.4258582
173,1.3036676000000001e-06,-63.2524214
174,1.3036888e-06,-66.2443512
175,1.30371e-06,-69.4744567
176,1.3037312e-06,-65.6580909
177,1.3037524e-06,-67.7215243
178,1.3037736e-06,-63.55838
179,1.3037948e-06,-65.8284859
180,1.303816e-06,-69.4744567
181,1.3038372e-06,-69.4744567
182,1.3038584e-06,-64.983346
183,1.3038796e-06,-65.5649986
184,1.3039008e-06,-67.1757628
185,1.303922e-06,-63.4985857
186,1.3039432e-06,-62.6923724
187,1.3039644e-06,-65.9973396
188,1.3039856e-06,-67.4252452
189,1.3040068e-06,-64.3969381
190,1.304028e-06,-66.5546478
191,1.3040492e-06,-62.9317759
192,1.3040704000000001e-06,-64.3581769
193,1.3040916e-06,-63.498211
194,1.3041128e-06,-63.007737
195,1.304134e-06,-62.0859082
196,1.3041552e-06,-61.2630842
197,1.3041764e-06,-60.0727072
198,1.3041976000000001e-06,-57.7736991
199,1.3042188e-06,-53.6139659
200,1.30424e-06,-49.5933624
201,1.3042612e-06,-45.2081811
202,1.3042824e-06,-41.5023908
203,1.3043036e-06,-38.9395823
204,1.3043248000000001e-06,-38.6561174
205,1.304346e-06,-40.325149
206,1.3043672e-06,-43.9233929
207,1.3043884e-06,-48.5095401
208,1.3044096e-06,-52.7839493
209,1.3044308e-06,-56.4955306
210,1.3044520000000001e-06,-58.5151501
211,1.3044732e-06,-59.8846398
212,1.3044944e-06,-61.4016389
213,1.3045156e-06,-61.7058806
214,1.3045368e-06,-62.7443394
215,1.304558e-06,-65.1234921
216,1.3045792000000001e-06,-64.6399866
217,1.3046004e-06,-63.6404406
218,1.3046216e-06,-62.8339108
219,1.3046428e-06,-64.8091604
220,1.304664e-06,-68.6157336
221,1.3046852e-06,-66.87271
222,1.3047064000000001e-06,-64.5835855
223,1.3047276e-06,-65.1085393
224,1.3047488e-06,-69.4698239
225,1.30477e-06,-66.8884235
226,1.3047912e-06,-69.4698239
227,1.3048124e-06,-66.3059492
228,1.3048336000000001e-06,-65.8168094
229,1.3048548e-06,-65.1973754
230,1.304876e-06,-66.958288
231,1.3048972e-06,-66.1731982
232,1.3049184e-06,-65.4679597
233,1.3049396e-06,-64.3118444
234,1.3049608e-06,-64.3849747
235,1.304982e-06,-64.4140199
236,1.3050032e-06,-63.1710556
237,1.3050244e-06,-64.0361343
238,1.3050456e-06,-63.3234491
239,1.3050668e-06,-62.2237954
240,1.305088e-06,-61.2889118
241,1.3051092e-06,-58.8755554
242,1.3051304e-06,-55.1831052
243,1.3051516e-06,-51.3825392
244,1.3051728e-06,-46.9672724
245,1.305194e-06,-42.4431907
246,1.3052152e-06,-38.687683
247,1.3052364e-06,-36.4000826
248,1.3052576e-06,-35.7211639
249,1.3052788e-06,-36.9425867
250,1.3053e-06,-40.3480731
251,1.3053212e-06,-44.9884751
252,1.3053424e-06,-49.7935267
253,1.3053636000000001e-06,-55.121695
254,1.3053848e-06,-58.1085383
255,1.305406e-06,-59.9887455
256,1.3054272e-06,-61.5297337
257,1.3054484e-06,-62.3776221
258,1.3054696e-06,-62.2453597
259,1.3054908000000001e-06,-63.0855615
260,1.305512e-06,-63.1159881
261,1.3055332e-06,-63.6641185
262,1.3055544e-06,-64.1608784
263,1.3055756e-06,-69.4651959
264,1.3055968e-06,-66.4984076
265,1.3056180000000001e-06,-66.6246891
266,1.3056392e-06,-66.7428745
267,1.3056604e-06,-63.5755075
268,1.3056816e-06,-65.301523
269,1.3057028e-06,-66.4700941
270,1.305724e-06,-67.6644409
271,1.3057452000000001e-06,-67.0757916
272,1.3057664e-06,-69.4651959
273,1.3057876e-06,-66.1055816
274,1.3058088e-06,-65.9633369
275,1.30583e-06,-67.9655226
276,1.3058512e-06,-66.0653083
277,1.3058724000000001e-06,-64.238148
278,1.3058936e-06,-63.2510055
279,1.3059148e-06,-63.5454839
280,1.305936e-06,-63.9276755
